OrderId,CustomerId,Amount,OrderDate
ORD-000157,C158,45.99,2024-06-05
ORD-000158,C159,59,2024-06-06
ORD-000159,C160,75.25,2024-06-07
ORD-000160,C161,99.5,2024-06-08
ORD-000161,C162,120,2024-06-09
ORD-000162,C163,150,2024-06-10
ORD-000163,C164,185,2024-06-11
ORD-000164,C165,210,2024-06-12
ORD-000165,C166,275,2024-06-13
ORD-000166,C167,350,2024-06-14
ORD-000167,C168,499.99,2024-06-15
ORD-000168,C169,15.99,2024-06-16
ORD-000169,C170,25,2024-06-17
ORD-000170,C171,33.5,2024-06-18
ORD-000171,C172,45.99,2024-06-19
ORD-000172,C173,59,2024-06-20
ORD-000173,C174,75.25,2024-06-21
ORD-000174,C175,99.5,2024-06-22
ORD-000175,C176,120,2024-06-23
ORD-000176,C177,150,2024-06-24
ORD-000177,C178,185,2024-06-25
ORD-000178,C179,210,2024-06-26
ORD-000179,C180,275,2024-06-27
ORD-000180,C181,350,2024-06-28
ORD-000181,C182,499.99,2024-06-29
ORD-000182,C183,15.99,2024-06-30
ORD-000183,C184,25,2024-07-01
ORD-000184,C185,33.5,2024-07-02
ORD-000185,C186,45.99,2024-07-03
ORD-000186,C187,59,2024-07-04
ORD-000187,C188,75.25,2024-07-05
ORD-000188,C189,99.5,2024-07-06
ORD-000189,C190,120,2024-07-07
ORD-000190,C191,150,2024-07-08
ORD-000191,C192,185,2024-07-09
ORD-000192,C193,210,2024-07-10
ORD-000193,C194,275,2024-07-11
ORD-000194,C195,350,2024-07-12
ORD-000195,C196,499.99,2024-07-13
ORD-000196,C197,15.99,2024-07-14
ORD-000197,C198,25,2024-07-15
ORD-000198,C199,33.5,2024-07-16
ORD-000199,C200,45.99,2024-07-17
ORD-000200,C201,59,2024-07-18
ORD-000201,C202,75.25,2024-07-19
ORD-000202,C203,99.5,2024-07-20
ORD-000203,C204,120,2024-07-21
ORD-000204,C205,150,2024-07-22
ORD-000205,C206,185,2024-07-23
ORD-000206,C207,210,2024-07-24
ORD-000207,C208,275,2024-07-25
ORD-000208,C209,350,2024-07-26
ORD-000209,C210,499.99,2024-07-27
ORD-000210,C211,15.99,2024-07-28
ORD-000211,C212,25,2024-07-29
ORD-000212,C213,33.5,2024-07-30
ORD-000213,C214,45.99,2024-07-31
ORD-000214,C215,59,2024-08-01
ORD-000215,C216,75.25,2024-08-02
ORD-000216,C217,99.5,2024-08-03
ORD-000217,C218,120,2024-08-04
ORD-000218,C219,150,2024-08-05
ORD-000219,C220,185,2024-08-06
ORD-000220,C221,210,2024-08-07
ORD-000221,C222,275,2024-08-08
ORD-000222,C223,350,2024-08-09
ORD-000223,C224,499.99,2024-08-10
ORD-000224,C225,15.99,2024-08-11
ORD-000225,C226,25,2024-08-12
ORD-000226,C227,33.5,2024-08-13
ORD-000227,C228,45.99,2024-08-14
ORD-000228,C229,59,2024-08-15
ORD-000229,C230,75.25,2024-08-16
ORD-000230,C231,99.5,2024-08-17
ORD-000231,C232,120,2024-08-18
ORD-000232,C233,150,2024-08-19
ORD-000233,C234,185,2024-08-20
ORD-000234,C235,210,2024-08-21
ORD-000235,C236,275,2024-08-22
ORD-000236,C237,350,2024-08-23
ORD-000237,C238,499.99,2024-08-24
ORD-000238,C239,15.99,2024-08-25
ORD-000239,C240,25,2024-08-26
ORD-000240,C241,33.5,2024-08-27
ORD-000241,C242,45.99,2024-08-28
ORD-000242,C243,59,2024-08-29
ORD-000243,C244,75.25,2024-08-30
ORD-000244,C245,99.5,2024-08-31
ORD-000245,C246,120,2024-09-01
ORD-000246,C247,150,2024-09-02
ORD-000247,C248,185,2024-09-03
ORD-000248,C249,210,2024-09-04
ORD-000249,C250,275,2024-09-05
ORD-000250,C251,350,2024-09-06
ORD-000251,C252,499.99,2024-09-07
ORD-000252,C253,15.99,2024-09-08
ORD-000253,C254,25,2024-09-09
ORD-000254,C255,33.5,2024-09-10
ORD-000255,C256,45.99,2024-09-11
ORD-000256,C257,59,2024-09-12
ORD-000257,C258,75.25,2024-09-13
ORD-000258,C259,99.5,2024-09-14
ORD-000259,C260,120,2024-09-15
ORD-000260,C261,150,2024-09-16
ORD-000261,C262,185,2024-09-17
ORD-000262,C263,210,2024-09-18
ORD-000263,C264,275,2024-09-19
ORD-000264,C265,350,2024-09-20
ORD-000265,C266,499.99,2024-09-21
ORD-000266,C267,15.99,2024-09-22
ORD-000267,C268,25,2024-09-23
ORD-000268,C269,33.5,2024-09-24
ORD-000269,C270,45.99,2024-09-25
ORD-000270,C271,59,2024-09-26
ORD-000271,C272,75.25,2024-09-27
ORD-000272,C273,99.5,2024-09-28
ORD-000273,C274,120,2024-09-29
ORD-000274,C275,150,2024-09-30
ORD-000275,C276,185,2024-10-01
ORD-000276,C277,210,2024-10-02
ORD-000277,C278,275,2024-10-03
ORD-000278,C279,350,2024-10-04
ORD-000279,C280,499.99,2024-10-05
ORD-000280,C281,15.99,2024-10-06
ORD-000281,C282,25,2024-10-07
ORD-000282,C283,33.5,2024-10-08
ORD-000283,C284,45.99,2024-10-09
ORD-000284,C285,59,2024-10-10
ORD-000285,C286,75.25,2024-10-11
ORD-000286,C287,99.5,2024-10-12
ORD-000287,C288,120,2024-10-13
ORD-000288,C289,150,2024-10-14
ORD-000289,C290,185,2024-10-15
ORD-000290,C291,210,2024-10-16
ORD-000291,C292,275,2024-10-17
ORD-000292,C293,350,2024-10-18
ORD-000293,C294,499.99,2024-10-19
ORD-000294,C295,15.99,2024-10-20
ORD-000295,C296,25,2024-10-21
ORD-000296,C297,33.5,2024-10-22
ORD-000297,C298,45.99,2024-10-23
ORD-000298,C299,59,2024-10-24
ORD-000299,C300,75.25,2024-10-25
ORD-000300,C301,99.5,2024-10-26
ORD-000301,C302,120,2024-10-27
ORD-000302,C303,150,2024-10-28
ORD-000303,C304,185,2024-10-29
ORD-000304,C305,210,2024-10-30
ORD-000305,C306,275,2024-10-31
ORD-000306,C307,350,2024-11-01
ORD-000307,C308,499.99,2024-11-02
ORD-000308,C309,15.99,2024-11-04
ORD-000309,C310,25,2024-11-05
ORD-000310,C311,33.5,2024-11-06
ORD-000311,C312,45.99,2024-11-07
ORD-000312,C313,59,2024-11-08
ORD-000313,C314,75.25,2024-11-09
ORD-000314,C315,99.5,2024-11-10
ORD-000315,C316,120,2024-11-11
ORD-000316,C317,150,2024-11-12
ORD-000317,C318,185,2024-11-13
ORD-000318,C319,210,2024-11-14
ORD-000319,C320,275,2024-11-15
ORD-000320,C321,350,2024-11-16
ORD-000321,C322,499.99,2024-11-17
ORD-000322,C323,15.99,2024-11-18
ORD-000323,C324,25,2024-11-19
ORD-000324,C325,33.5,2024-11-20
ORD-000325,C326,45.99,2024-11-21
ORD-000326,C327,59,2024-11-22
ORD-000327,C328,75.25,2024-11-23
ORD-000328,C329,99.5,2024-11-24
ORD-000329,C330,120,2024-11-25
ORD-000330,C331,150,2024-11-26
ORD-000331,C332,185,2024-11-27
ORD-000332,C333,210,2024-11-28
ORD-000333,C334,275,2024-11-29
ORD-000334,C335,350,2024-11-30
ORD-000335,C336,499.99,2024-12-01
ORD-000336,C337,15.99,2024-12-02
ORD-000337,C338,25,2024-12-03
ORD-000338,C339,33.5,2024-12-04
ORD-000339,C340,45.99,2024-12-05
ORD-000340,C341,59,2024-12-06
ORD-000341,C342,75.25,2024-12-07
ORD-000342,C343,99.5,2024-12-08
ORD-000343,C344,120,2024-12-09
ORD-000344,C345,150,2024-12-10
ORD-000345,C346,185,2024-12-11
ORD-000346,C347,210,2024-12-12
ORD-000347,C348,275,2024-12-13
ORD-000348,C349,350,2024-12-14
ORD-000349,C350,499.99,2024-12-15
ORD-000350,C351,15.99,2024-12-16
ORD-000351,C352,25,2024-12-17
ORD-000352,C353,33.5,2024-12-18
ORD-000353,C354,45.99,2024-12-19
ORD-000354,C355,59,2024-12-20
ORD-000355,C356,75.25,2024-12-21
ORD-000356,C357,99.5,2024-12-22
ORD-000357,C358,120,2024-12-23
ORD-000358,C359,150,2024-12-24
ORD-000359,C360,185,2024-12-25
ORD-000360,C361,210,2024-12-26
ORD-000361,C362,275,2024-12-27
ORD-000362,C363,350,2024-12-28
ORD-000363,C364,499.99,2024-12-29
ORD-000364,C365,15.99,2024-12-30
ORD-000365,C366,25,2024-12-31
ORD-000366,C367,33.5,2025-01-01
ORD-000367,C368,45.99,2025-01-02
ORD-000368,C369,59,2025-01-03
ORD-000369,C370,75.25,2025-01-04
ORD-000370,C371,99.5,2025-01-05
ORD-000371,C372,120,2025-01-06
ORD-000372,C373,150,2025-01-07
ORD-000373,C374,185,2025-01-08
ORD-000374,C375,210,2025-01-09
ORD-000375,C376,275,2025-01-10
ORD-000376,C377,350,2025-01-11
ORD-000377,C378,499.99,2025-01-12
ORD-000378,C379,15.99,2025-01-13
ORD-000379,C380,25,2025-01-14
ORD-000380,C381,33.5,2025-01-15
ORD-000381,C382,45.99,2025-01-16
ORD-000382,C383,59,2025-01-17
ORD-000383,C384,75.25,2025-01-18
ORD-000384,C385,99.5,2025-01-19
ORD-000385,C386,120,2025-01-20
ORD-000386,C387,150,2025-01-21
ORD-000387,C388,185,2025-01-22
ORD-000388,C389,210,2025-01-23
ORD-000389,C390,275,2025-01-24
ORD-000390,C391,350,2025-01-25
ORD-000391,C392,499.99,2025-01-26
ORD-000392,C393,15.99,2025-01-27
ORD-000393,C394,25,2025-01-28
ORD-000394,C395,33.5,2025-01-29
ORD-000395,C396,45.99,2025-01-30
ORD-000396,C397,59,2025-01-31
ORD-000397,C398,75.25,2025-02-01
ORD-000398,C399,99.5,2025-02-02
ORD-000399,C400,120,2025-02-03
ORD-000400,C401,150,2024-01-01
ORD-000401,C402,185,2024-01-02
ORD-000402,C403,210,2024-01-03
ORD-000403,C404,275,2024-01-04
ORD-000404,C405,350,2024-01-05
ORD-000405,C406,499.99,2024-01-06
ORD-000406,C407,15.99,2024-01-07
ORD-000407,C408,25,2024-01-08
ORD-000408,C409,33.5,2024-01-09
ORD-000409,C410,45.99,2024-01-10
ORD-000410,C411,59,2024-01-11
ORD-000411,C412,75.25,2024-01-12
ORD-000412,C413,99.5,2024-01-13
ORD-000413,C414,120,2024-01-14
ORD-000414,C415,150,2024-01-15
ORD-000415,C416,185,2024-01-16
ORD-000416,C417,210,2024-01-17
ORD-000417,C418,275,2024-01-18
ORD-000418,C419,350,2024-01-19
ORD-000419,C420,499.99,2024-01-20
ORD-000420,C421,15.99,2024-01-21
ORD-000421,C422,25,2024-01-22
ORD-000422,C423,33.5,2024-01-23
ORD-000423,C424,45.99,2024-01-24
ORD-000424,C425,59,2024-01-25
ORD-000425,C426,75.25,2024-01-26
ORD-000426,C427,99.5,2024-01-27
ORD-000427,C428,120,2024-01-28
ORD-000428,C429,150,2024-01-29
ORD-000429,C430,185,2024-01-30
ORD-000430,C431,210,2024-01-31
ORD-000431,C432,275,2024-02-01
ORD-000432,C433,350,2024-02-02
ORD-000433,C434,499.99,2024-02-03
ORD-000434,C435,15.99,2024-02-04
ORD-000435,C436,25,2024-02-05
ORD-000436,C437,33.5,2024-02-06
ORD-000437,C438,45.99,2024-02-07
ORD-000438,C439,59,2024-02-08
ORD-000439,C440,75.25,2024-02-09
ORD-000440,C441,99.5,2024-02-10
ORD-000441,C442,120,2024-02-11
ORD-000442,C443,150,2024-02-12
ORD-000443,C444,185,2024-02-13
ORD-000444,C445,210,2024-02-14
ORD-000445,C446,275,2024-02-15
ORD-000446,C447,350,2024-02-16
ORD-000447,C448,499.99,2024-02-17
ORD-000448,C449,15.99,2024-02-18
ORD-000449,C450,25,2024-02-19
ORD-000450,C451,33.5,2024-02-20
ORD-000451,C452,45.99,2024-02-21
ORD-000452,C453,59,2024-02-22
ORD-000453,C454,75.25,2024-02-23
ORD-000454,C455,99.5,2024-02-24
ORD-000455,C456,120,2024-02-25
ORD-000456,C457,150,2024-02-26
ORD-000457,C458,185,2024-02-27
ORD-000458,C459,210,2024-02-28
ORD-000459,C460,275,2024-02-29
ORD-000460,C461,350,2024-03-01
ORD-000461,C462,499.99,2024-03-02
ORD-000462,C463,15.99,2024-03-03
ORD-000463,C464,25,2024-03-04
ORD-000464,C465,33.5,2024-03-05
ORD-000465,C466,45.99,2024-03-06
ORD-000466,C467,59,2024-03-07
ORD-000467,C468,75.25,2024-03-08
ORD-000468,C469,99.5,2024-03-09
ORD-000469,C470,120,2024-03-10
ORD-000470,C471,150,2024-03-10
ORD-000471,C472,185,2024-03-11
ORD-000472,C473,210,2024-03-12
ORD-000473,C474,275,2024-03-13
ORD-000474,C475,350,2024-03-14
ORD-000475,C476,499.99,2024-03-15
ORD-000476,C477,15.99,2024-03-16
ORD-000477,C478,25,2024-03-17
ORD-000478,C479,33.5,2024-03-18
ORD-000479,C480,45.99,2024-03-19
ORD-000480,C481,59,2024-03-20
ORD-000481,C482,75.25,2024-03-21
ORD-000482,C483,99.5,2024-03-22
ORD-000483,C484,120,2024-03-23
ORD-000484,C485,150,2024-03-24
ORD-000485,C486,185,2024-03-25
ORD-000486,C487,210,2024-03-26
ORD-000487,C488,275,2024-03-27
ORD-000488,C489,350,2024-03-28
ORD-000489,C490,499.99,2024-03-29
ORD-000490,C491,15.99,2024-03-30
ORD-000491,C492,25,2024-03-31
ORD-000492,C493,33.5,2024-04-01
ORD-000493,C494,45.99,2024-04-02
ORD-000494,C495,59,2024-04-03
ORD-000495,C496,75.25,2024-04-04
ORD-000496,C497,99.5,2024-04-05
ORD-000497,C498,120,2024-04-06
ORD-000498,C499,150,2024-04-07
ORD-000499,C500,185,2024-04-08
ORD-000500,C501,210,2024-04-09
ORD-000501,C502,275,2024-04-10
ORD-000502,C503,350,2024-04-11
ORD-000503,C504,499.99,2024-04-12
ORD-000504,C505,15.99,2024-04-13
ORD-000505,C506,25,2024-04-14
ORD-000506,C507,33.5,2024-04-15
ORD-000507,C508,45.99,2024-04-16
ORD-000508,C509,59,2024-04-17
ORD-000509,C510,75.25,2024-04-18
ORD-000510,C511,99.5,2024-04-19
ORD-000511,C512,120,2024-04-20
ORD-000512,C513,150,2024-04-21
ORD-000513,C514,185,2024-04-22
ORD-000514,C515,210,2024-04-23
ORD-000515,C516,275,2024-04-24
ORD-000516,C517,350,2024-04-25
ORD-000517,C518,499.99,2024-04-26
ORD-000518,C519,15.99,2024-04-27
ORD-000519,C520,25,2024-04-28
ORD-000520,C521,33.5,2024-04-29
ORD-000521,C522,45.99,2024-04-30
ORD-000522,C523,59,2024-05-01
ORD-000523,C524,75.25,2024-05-02
ORD-000524,C525,99.5,2024-05-03
ORD-000525,C526,120,2024-05-04
ORD-000526,C527,150,2024-05-05
ORD-000527,C528,185,2024-05-06
ORD-000528,C529,210,2024-05-07
ORD-000529,C530,275,2024-05-08
ORD-000530,C531,350,2024-05-09
ORD-000531,C532,499.99,2024-05-10
ORD-000532,C533,15.99,2024-05-11
ORD-000533,C534,25,2024-05-12
ORD-000534,C535,33.5,2024-05-13
ORD-000535,C536,45.99,2024-05-14
ORD-000536,C537,59,2024-05-15
ORD-000537,C538,75.25,2024-05-16
ORD-000538,C539,99.5,2024-05-17
ORD-000539,C540,120,2024-05-18
ORD-000540,C541,150,2024-05-19
ORD-000541,C542,185,2024-05-20
ORD-000542,C543,210,2024-05-21
ORD-000543,C544,275,2024-05-22
ORD-000544,C545,350,2024-05-23
ORD-000545,C546,499.99,2024-05-24
ORD-000546,C547,15.99,2024-05-25
ORD-000547,C548,25,2024-05-26
ORD-000548,C549,33.5,2024-05-27
ORD-000549,C550,45.99,2024-05-28
ORD-000550,C551,59,2024-05-29
ORD-000551,C552,75.25,2024-05-30
ORD-000552,C553,99.5,2024-05-31
ORD-000553,C554,120,2024-06-01
ORD-000554,C555,150,2024-06-02
ORD-000555,C556,185,2024-06-03
ORD-000556,C557,210,2024-06-04
ORD-000557,C558,275,2024-06-05
ORD-000558,C559,350,2024-06-06
ORD-000559,C560,499.99,2024-06-07
ORD-000560,C561,15.99,2024-06-08
ORD-000561,C562,25,2024-06-09
ORD-000562,C563,33.5,2024-06-10
ORD-000563,C564,45.99,2024-06-11
ORD-000564,C565,59,2024-06-12
ORD-000565,C566,75.25,2024-06-13
ORD-000566,C567,99.5,2024-06-14
ORD-000567,C568,120,2024-06-15
ORD-000568,C569,150,2024-06-16
ORD-000569,C570,185,2024-06-17
ORD-000570,C571,210,2024-06-18
ORD-000571,C572,275,2024-06-19
ORD-000572,C573,350,2024-06-20
ORD-000573,C574,499.99,2024-06-21
ORD-000574,C575,15.99,2024-06-22
ORD-000575,C576,25,2024-06-23
ORD-000576,C577,33.5,2024-06-24
ORD-000577,C578,45.99,2024-06-25
ORD-000578,C579,59,2024-06-26
ORD-000579,C580,75.25,2024-06-27
ORD-000580,C581,99.5,2024-06-28
ORD-000581,C582,120,2024-06-29
ORD-000582,C583,150,2024-06-30
ORD-000583,C584,185,2024-07-01
ORD-000584,C585,210,2024-07-02
ORD-000585,C586,275,2024-07-03
ORD-000586,C587,350,2024-07-04
ORD-000587,C588,499.99,2024-07-05
ORD-000588,C589,15.99,2024-07-06
ORD-000589,C590,25,2024-07-07
ORD-000590,C591,33.5,2024-07-08
ORD-000591,C592,45.99,2024-07-09
ORD-000592,C593,59,2024-07-10
ORD-000593,C594,75.25,2024-07-11
ORD-000594,C595,99.5,2024-07-12
ORD-000595,C596,120,2024-07-13
ORD-000596,C597,150,2024-07-14
ORD-000597,C598,185,2024-07-15
ORD-000598,C599,210,2024-07-16
ORD-000599,C600,275,2024-07-17
ORD-000600,C601,350,2024-07-18
ORD-000601,C602,499.99,2024-07-19
ORD-000602,C603,15.99,2024-07-20
ORD-000603,C604,25,2024-07-21
ORD-000604,C605,33.5,2024-07-22
ORD-000605,C606,45.99,2024-07-23
ORD-000606,C607,59,2024-07-24
ORD-000607,C608,75.25,2024-07-25
ORD-000608,C609,99.5,2024-07-26
ORD-000609,C610,120,2024-07-27
ORD-000610,C611,150,2024-07-28
ORD-000611,C612,185,2024-07-29
ORD-000612,C613,210,2024-07-30
ORD-000613,C614,275,2024-07-31
ORD-000614,C615,350,2024-08-01
ORD-000615,C616,499.99,2024-08-02
ORD-000616,C617,15.99,2024-08-03
ORD-000617,C618,25,2024-08-04
ORD-000618,C619,33.5,2024-08-05
ORD-000619,C620,45.99,2024-08-06
ORD-000620,C621,59,2024-08-07
ORD-000621,C622,75.25,2024-08-08
ORD-000622,C623,99.5,2024-08-09
ORD-000623,C624,120,2024-08-10
ORD-000624,C625,150,2024-08-11
ORD-000625,C626,185,2024-08-12
ORD-000626,C627,210,2024-08-13
ORD-000627,C628,275,2024-08-14
ORD-000628,C629,350,2024-08-15
ORD-000629,C630,499.99,2024-08-16
ORD-000630,C631,15.99,2024-08-17
ORD-000631,C632,25,2024-08-18
ORD-000632,C633,33.5,2024-08-19
ORD-000633,C634,45.99,2024-08-20
ORD-000634,C635,59,2024-08-21
ORD-000635,C636,75.25,2024-08-22
ORD-000636,C637,99.5,2024-08-23
ORD-000637,C638,120,2024-08-24
ORD-000638,C639,150,2024-08-25
ORD-000639,C640,185,2024-08-26
ORD-000640,C641,210,2024-08-27
ORD-000641,C642,275,2024-08-28
ORD-000642,C643,350,2024-08-29
ORD-000643,C644,499.99,2024-08-30
ORD-000644,C645,15.99,2024-08-31
ORD-000645,C646,25,2024-09-01
ORD-000646,C647,33.5,2024-09-02
ORD-000647,C648,45.99,2024-09-03
ORD-000648,C649,59,2024-09-04
ORD-000649,C650,75.25,2024-09-05
ORD-000650,C651,99.5,2024-09-06
ORD-000651,C652,120,2024-09-07
ORD-000652,C653,150,2024-09-08
ORD-000653,C654,185,2024-09-09
ORD-000654,C655,210,2024-09-10
ORD-000655,C656,275,2024-09-11
ORD-000656,C657,350,2024-09-12
ORD-000657,C658,499.99,2024-09-13
ORD-000658,C659,15.99,2024-09-14
ORD-000659,C660,25,2024-09-15
ORD-000660,C661,33.5,2024-09-16
ORD-000661,C662,45.99,2024-09-17
ORD-000662,C663,59,2024-09-18
ORD-000663,C664,75.25,2024-09-19
ORD-000664,C665,99.5,2024-09-20
ORD-000665,C666,120,2024-09-21
ORD-000666,C667,150,2024-09-22
ORD-000667,C668,185,2024-09-23
ORD-000668,C669,210,2024-09-24
ORD-000669,C670,275,2024-09-25
ORD-000670,C671,350,2024-09-26
ORD-000671,C672,499.99,2024-09-27
ORD-000672,C673,15.99,2024-09-28
ORD-000673,C674,25,2024-09-29
ORD-000674,C675,33.5,2024-09-30
ORD-000675,C676,45.99,2024-10-01
ORD-000676,C677,59,2024-10-02
ORD-000677,C678,75.25,2024-10-03
ORD-000678,C679,99.5,2024-10-04
ORD-000679,C680,120,2024-10-05
ORD-000680,C681,150,2024-10-06
ORD-000681,C682,185,2024-10-07
ORD-000682,C683,210,2024-10-08
ORD-000683,C684,275,2024-10-09
ORD-000684,C685,350,2024-10-10
ORD-000685,C686,499.99,2024-10-11
ORD-000686,C687,15.99,2024-10-12
ORD-000687,C688,25,2024-10-13
ORD-000688,C689,33.5,2024-10-14
ORD-000689,C690,45.99,2024-10-15
ORD-000690,C691,59,2024-10-16
ORD-000691,C692,75.25,2024-10-17
ORD-000692,C693,99.5,2024-10-18
ORD-000693,C694,120,2024-10-19
ORD-000694,C695,150,2024-10-20
ORD-000695,C696,185,2024-10-21
ORD-000696,C697,210,2024-10-22
ORD-000697,C698,275,2024-10-23
ORD-000698,C699,350,2024-10-24
ORD-000699,C700,499.99,2024-10-25
ORD-000700,C701,15.99,2024-10-26
ORD-000701,C702,25,2024-10-27
ORD-000702,C703,33.5,2024-10-28
